"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"813","LOC111118136","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"814","LOC111118152","GO:0046961","proton-transporting ATPase activity, rotational mechanism",23,4,0.81,0.00779,"Molecular Functions",0.173913043478261
"815","LOC111118497","GO:0004691","cAMP-dependent protein kinase activity",1,1,0.04,0.03505,"Molecular Functions",1
"816","LOC111118497","GO:0005524","ATP binding",1286,63,45.07,0.00443,"Molecular Functions",0.0489891135303266
"817","LOC111118600","GO:0030976","thiamine pyrophosphate binding",6,3,0.21,0.00079,"Molecular Functions",0.5
"818","LOC111118600","GO:0030976","thiamine pyrophosphate binding",6,3,0.21,0.00079,"Molecular Functions",0.5
"819","LOC111118894","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"820","LOC111118894","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"821","LOC111118909","GO:0061630","ubiquitin protein ligase activity",601,46,21.06,6.4e-07,"Molecular Functions",0.0765391014975042
"822","LOC111118916","GO:0005524","ATP binding",1286,63,45.07,0.00443,"Molecular Functions",0.0489891135303266
"823","LOC111118916","GO:0051015","actin filament binding",117,12,4.1,0.00083,"Molecular Functions",0.102564102564103
"824","LOC111119206","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"825","LOC111119206","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"826","LOC111119459","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"827","LOC111119459","GO:0061630","ubiquitin protein ligase activity",601,46,21.06,6.4e-07,"Molecular Functions",0.0765391014975042
"828","LOC111119568","GO:0005080","protein kinase C binding",6,2,0.21,0.01675,"Molecular Functions",0.333333333333333
"829","LOC111119574","GO:0004693","cyclin-dependent protein serine/threonine kinase activity",17,3,0.6,0.0202,"Molecular Functions",0.176470588235294
"830","LOC111119574","GO:0005524","ATP binding",1286,63,45.07,0.00443,"Molecular Functions",0.0489891135303266
"831","LOC111119576","GO:0003735","structural constituent of ribosome",174,23,6.1,4.6e-08,"Molecular Functions",0.132183908045977
"832","LOC111119576","GO:0003735","structural constituent of ribosome",174,23,6.1,4.6e-08,"Molecular Functions",0.132183908045977
"833","LOC111119586","GO:0005198","structural molecule activity",371,31,13,0.04131,"Molecular Functions",0.0835579514824798
"834","LOC111119597","GO:0005524","ATP binding",1286,63,45.07,0.00443,"Molecular Functions",0.0489891135303266
